sentence_type,item_id,condition,critical_region_name,critical_region_text,aggregated_surprisal_bits,original_full_sentence
lan_parasitic_gap,1,PLUS_FILLER_PLUS_GAP,soon,soon,22.97648529,I know who Bob's talking to is about to bother soon .
lan_parasitic_gap,1,MINUS_FILLER_PLUS_GAP,soon,soon,23.33667864,I know that Bob's talking to Jennifer is about to bother soon .
lan_parasitic_gap,1,PLUS_FILLER_MINUS_GAP,Kim,Kim,19.50932122,I know who Bob's talking to is about to bother Kim soon .
lan_parasitic_gap,1,MINUS_FILLER_MINUS_GAP,Kim,Kim,19.20574645,I know that Bob's talking to Jennifer is about to bother Kim soon .
lan_parasitic_gap,2,PLUS_FILLER_PLUS_GAP,soon,soon,22.97648529,I know who Bob's talking to is about to bother soon .
lan_parasitic_gap,2,MINUS_FILLER_PLUS_GAP,soon,soon,23.33667864,I know that Bob's talking to Jennifer is about to bother soon .
lan_parasitic_gap,2,PLUS_FILLER_MINUS_GAP,you,you,4.13821636,I know who Bob's talking to is about to bother you soon .
lan_parasitic_gap,2,MINUS_FILLER_MINUS_GAP,you,you,5.77248976,I know that Bob's talking to Jennifer is about to bother you soon .
lan_parasitic_gap,3,PLUS_FILLER_PLUS_GAP,soon,soon,22.97648529,I know who Bob's talking to is about to bother soon .
lan_parasitic_gap,3,MINUS_FILLER_PLUS_GAP,soon,soon,23.33667864,I know that Bob's talking to Jennifer is about to bother soon .
lan_parasitic_gap,3,PLUS_FILLER_MINUS_GAP,us,us,7.00875245,I know who Bob's talking to is about to bother us soon .
lan_parasitic_gap,3,MINUS_FILLER_MINUS_GAP,us,us,6.60424673,I know that Bob's talking to Jennifer is about to bother us soon .
lan_parasitic_gap,4,PLUS_FILLER_PLUS_GAP,soon,soon,22.97648529,I know who Bob's talking to is about to bother soon .
lan_parasitic_gap,4,MINUS_FILLER_PLUS_GAP,soon,soon,23.26264674,I know that Bob's talking to Mary is about to bother soon .
lan_parasitic_gap,4,PLUS_FILLER_MINUS_GAP,Kim,Kim,19.50932122,I know who Bob's talking to is about to bother Kim soon .
lan_parasitic_gap,4,MINUS_FILLER_MINUS_GAP,Kim,Kim,20.15949050,I know that Bob's talking to Mary is about to bother Kim soon .
lan_parasitic_gap,5,PLUS_FILLER_PLUS_GAP,soon,soon,22.97648529,I know who Bob's talking to is about to bother soon .
