sentence_type,item_id,condition,full_sentence
lan_parasitic_gap,1,PLUS_FILLER_PLUS_GAP,I know who Bob's talking to is about to bother soon .
lan_parasitic_gap,1,MINUS_FILLER_PLUS_GAP,I know that Bob's talking to Jennifer is about to bother soon .
lan_parasitic_gap,1,PLUS_FILLER_MINUS_GAP,I know who Bob's talking to is about to bother Kim soon .
lan_parasitic_gap,1,MINUS_FILLER_MINUS_GAP,I know that Bob's talking to Jennifer is about to bother Kim soon .
lan_parasitic_gap,2,PLUS_FILLER_PLUS_GAP,I know who Bob's talking to is about to bother soon .
lan_parasitic_gap,2,MINUS_FILLER_PLUS_GAP,I know that Bob's talking to Jennifer is about to bother soon .
lan_parasitic_gap,2,PLUS_FILLER_MINUS_GAP,I know who Bob's talking to is about to bother you soon .
lan_parasitic_gap,2,MINUS_FILLER_MINUS_GAP,I know that Bob's talking to Jennifer is about to bother you soon .
lan_parasitic_gap,3,PLUS_FILLER_PLUS_GAP,I know who Bob's talking to is about to bother soon .
lan_parasitic_gap,3,MINUS_FILLER_PLUS_GAP,I know that Bob's talking to Jennifer is about to bother soon .
lan_parasitic_gap,3,PLUS_FILLER_MINUS_GAP,I know who Bob's talking to is about to bother us soon .
lan_parasitic_gap,3,MINUS_FILLER_MINUS_GAP,I know that Bob's talking to Jennifer is about to bother us soon .
lan_parasitic_gap,4,PLUS_FILLER_PLUS_GAP,I know who Bob's talking to is about to bother soon .
lan_parasitic_gap,4,MINUS_FILLER_PLUS_GAP,I know that Bob's talking to Mary is about to bother soon .
lan_parasitic_gap,4,PLUS_FILLER_MINUS_GAP,I know who Bob's talking to is about to bother Kim soon .
lan_parasitic_gap,4,MINUS_FILLER_MINUS_GAP,I know that Bob's talking to Mary is about to bother Kim soon .
lan_parasitic_gap,5,PLUS_FILLER_PLUS_GAP,I know who Bob's talking to is about to bother soon .
lan_parasitic_gap,5,MINUS_FILLER_PLUS_GAP,I know that Bob's talking to Mary is about to bother soon .
lan_parasitic_gap,5,PLUS_FILLER_MINUS_GAP,I know who Bob's talking to is about to bother you soon .
lan_parasitic_gap,5,MINUS_FILLER_MINUS_GAP,I know that Bob's talking to Mary is about to bother you soon .
lan_parasitic_gap,6,PLUS_FILLER_PLUS_GAP,I know who Bob's talking to is about to bother soon .
