sentence_type,item_id,condition,critical_region_name,critical_region_text,aggregated_surprisal_bits,original_full_sentence
basic_object,1,that_gap,basic_object_post_gap_prepositional_phrase,in front of,18.74899208,I know that with gusto our uncle grabbed in front of the guests at the holiday party .
basic_object,1,that_nogap,basic_object_filled_object_NP,the food,19.73439175,I know that with gusto our uncle grabbed the food in front of the guests at the holiday party .
basic_object,1,what_gap,basic_object_post_gap_prepositional_phrase,in front of,17.83939594,I know what with gusto our uncle grabbed in front of the guests at the holiday party .
basic_object,1,what_nogap,basic_object_filled_object_NP,the food,19.82185947,I know what with gusto our uncle grabbed the food in front of the guests at the holiday party .
basic_object,10,that_gap,basic_object_post_gap_prepositional_phrase,for,14.50021479,She can guess that with much fanfare the movie star received for her hard work during the award ceremony .
basic_object,10,that_nogap,basic_object_filled_object_NP,a prize,16.66583855,She can guess that with much fanfare the movie star received a prize for her hard work during the award ceremony .
basic_object,10,what_gap,basic_object_post_gap_prepositional_phrase,for,6.50493160,She can guess what with much fanfare the movie star received for her hard work during the award ceremony .
basic_object,10,what_nogap,basic_object_filled_object_NP,a prize,22.10011730,She can guess what with much fanfare the movie star received a prize for her hard work during the award ceremony .
basic_object,11,that_gap,basic_object_post_gap_prepositional_phrase,with,11.12794832,The newspaper reported that brutally the suspect killed with a gun in the middle of the night .
basic_object,11,that_nogap,basic_object_filled_object_NP,the witness,19.81802045,The newspaper reported that brutally the suspect killed the witness with a gun in the middle of the night .
basic_object,11,what_gap,basic_object_post_gap_prepositional_phrase,with,9.20388653,The newspaper reported who brutally the suspect killed with a gun in the middle of the night .
basic_object,11,what_nogap,basic_object_filled_object_NP,the witness,26.85130882,The newspaper reported who brutally the suspect killed the witness with a gun in the middle of the night .
basic_object,12,that_gap,basic_object_post_gap_prepositional_phrase,next to,12.09788662,We recall that clumsily the man placed next to the oven over an hour ago .
basic_object,12,that_nogap,basic_object_filled_object_NP,a delicate plate,37.98225794,We recall that clumsily the man placed a delicate plate next to the oven over an hour ago .
basic_object,12,what_gap,basic_object_post_gap_prepositional_phrase,next to,9.53993926,We recall what clumsily the man placed next to the oven over an hour ago .
basic_object,12,what_nogap,basic_object_filled_object_NP,a delicate plate,40.36899057,We recall what clumsily the man placed a delicate plate next to the oven over an hour ago .
basic_object,13,that_gap,basic_object_post_gap_prepositional_phrase,to,8.82598267,I remember that with skill the nurse administered to the patient without any delay .
basic_object,13,that_nogap,basic_object_filled_object_NP,the new medicine,24.82642573,I remember that with skill the nurse administered the new medicine to the patient without any delay .
basic_object,13,what_gap,basic_object_post_gap_prepositional_phrase,to,4.49019644,I remember what with skill the nurse administered to the patient without any delay .
basic_object,13,what_nogap,basic_object_filled_object_NP,the new medicine,25.40827042,I remember what with skill the nurse administered the new medicine to the patient without any delay .
basic_object,14,that_gap,basic_object_post_gap_prepositional_phrase,to,7.71213553,Our friend knew that without tact the gossip column revealed to the public yesterday .
basic_object,14,that_nogap,basic_object_filled_object_NP,family secrets,23.00457745,Our friend knew that without tact the gossip column revealed family secrets to the public yesterday .
basic_object,14,what_gap,basic_object_post_gap_prepositional_phrase,to,6.83423829,Our friend knew what without tact the gossip column revealed to the public yesterday .
basic_object,14,what_nogap,basic_object_filled_object_NP,family secrets,28.08753833,Our friend knew what without tact the gossip column revealed family secrets to the public yesterday .
basic_object,15,that_gap,basic_object_post_gap_prepositional_phrase,for,14.59840462,The mayor told me that with public funds the workers repaired for the town over the summer .
basic_object,15,that_nogap,basic_object_filled_object_NP,the bridge,10.51825962,The mayor told me that with public funds the workers repaired the bridge for the town over the summer .
basic_object,15,what_gap,basic_object_post_gap_prepositional_phrase,for,10.55101601,The mayor told me what with public funds the workers repaired for the town over the summer .
basic_object,15,what_nogap,basic_object_filled_object_NP,the bridge,11.12618390,The mayor told me what with public funds the workers repaired the bridge for the town over the summer .
basic_object,16,that_gap,basic_object_post_gap_prepositional_phrase,about,10.17400084,My friend remembers that secretly the government collected about foreign threats using illegal methods .
basic_object,16,that_nogap,basic_object_filled_object_NP,sensitive data,17.19347252,My friend remembers that secretly the government collected sensitive data about foreign threats using illegal methods .
basic_object,16,what_gap,basic_object_post_gap_prepositional_phrase,about,5.41634173,My friend remembers what secretly the government collected about foreign threats using illegal methods .
basic_object,16,what_nogap,basic_object_filled_object_NP,sensitive data,27.97866679,My friend remembers what secretly the government collected sensitive data about foreign threats using illegal methods .
basic_object,17,that_gap,basic_object_post_gap_prepositional_phrase,to,11.15366724,The newspaper said that secretly the neighbors sold to the new couple last month .
basic_object,17,that_nogap,basic_object_filled_object_NP,a convertible,28.07299596,The newspaper said that secretly the neighbors sold a convertible to the new couple last month .
basic_object,17,what_gap,basic_object_post_gap_prepositional_phrase,to,3.66147634,The newspaper said what secretly the neighbors sold to the new couple last month .
basic_object,17,what_nogap,basic_object_filled_object_NP,a convertible,33.73847958,The newspaper said what secretly the neighbors sold a convertible to the new couple last month .
basic_object,18,that_gap,basic_object_post_gap_prepositional_phrase,to,6.31499214,Our neighbor said that we believe the student sent to her mother over a week ago .
basic_object,18,that_nogap,basic_object_filled_object_NP,a package,17.43929188,Our neighbor said that we believe the student sent a package to her mother over a week ago .
basic_object,18,what_gap,basic_object_post_gap_prepositional_phrase,to,3.86656698,Our neighbor said what we believe the student sent to her mother over a week ago .
basic_object,18,what_nogap,basic_object_filled_object_NP,a package,27.00812400,Our neighbor said what we believe the student sent a package to her mother over a week ago .
basic_object,19,that_gap,basic_object_post_gap_prepositional_phrase,to help with,24.08288524,My friend told me that recently the university hired to help with increased enrollment for the following year .
basic_object,19,that_nogap,basic_object_filled_object_NP,a new administrator,18.83210430,My friend told me that recently the university hired a new administrator to help with increased enrollment for the following year .
basic_object,19,what_gap,basic_object_post_gap_prepositional_phrase,to help with,15.45406127,My friend told me who recently the university hired to help with increased enrollment for the following year .
basic_object,19,what_nogap,basic_object_filled_object_NP,a new administrator,23.86930578,My friend told me who recently the university hired a new administrator to help with increased enrollment for the following year .
basic_object,2,that_gap,basic_object_post_gap_prepositional_phrase,for,15.26018037,My neighbor told me that with skill the dog caught for his neighbors yesterday .
basic_object,2,that_nogap,basic_object_filled_object_NP,the mouse,18.41362896,My neighbor told me that with skill the dog caught the mouse for his neighbors yesterday .
basic_object,2,what_gap,basic_object_post_gap_prepositional_phrase,for,12.53329775,My neighbor told me what with skill the dog caught for his neighbors yesterday .
basic_object,2,what_nogap,basic_object_filled_object_NP,the mouse,22.46102766,My neighbor told me what with skill the dog caught the mouse for his neighbors yesterday .
basic_object,20,that_gap,basic_object_post_gap_prepositional_phrase,from,7.30049713,She can not believe that recently my friend stole from the store when he was young .
basic_object,20,that_nogap,basic_object_filled_object_NP,a candy bar,21.05319392,She can not believe that recently my friend stole a candy bar from the store when he was young .
basic_object,20,what_gap,basic_object_post_gap_prepositional_phrase,from,1.54063961,She can not believe what recently my friend stole from the store when he was young .
basic_object,20,what_nogap,basic_object_filled_object_NP,a candy bar,23.57374083,She can not believe what recently my friend stole a candy bar from the store when he was young .
basic_object,21,that_gap,basic_object_post_gap_prepositional_phrase,out of,12.25976999,Our neighbor reminded us that with effort the truck dragged out of the swamp last spring .
basic_object,21,that_nogap,basic_object_filled_object_NP,the car,13.54902431,Our neighbor reminded us that with effort the truck dragged the car out of the swamp last spring .
basic_object,21,what_gap,basic_object_post_gap_prepositional_phrase,out of,10.99317751,Our neighbor reminded us what with effort the truck dragged out of the swamp last spring .
basic_object,21,what_nogap,basic_object_filled_object_NP,the car,14.03158272,Our neighbor reminded us what with effort the truck dragged the car out of the swamp last spring .
basic_object,22,that_gap,basic_object_post_gap_prepositional_phrase,for,8.76380828,The shop owner told me that with care the chef prepared for the guests yesterday evening .
basic_object,22,that_nogap,basic_object_filled_object_NP,a great meal,14.81144450,The shop owner told me that with care the chef prepared a great meal for the guests yesterday evening .
basic_object,22,what_gap,basic_object_post_gap_prepositional_phrase,for,4.78409073,The shop owner told me what with care the chef prepared for the guests yesterday evening .
