sentence_type,item_id,condition,critical_region_text,aggregated_surprisal_bits,original_full_sentence
subject_pg_full,1,minusF_minusG1_minusG2,the campaign,9.29540678,The investigators know that the story about the politician is likely to damage the campaign severely.
subject_pg_full,1,minusF_minusG1_plusG2,severely,25.52769527,The investigators know that the story about the politician is likely to damage severely.
subject_pg_full,1,minusF_plusG1_minusG2,the campaign,11.09084941,The investigators know that the story about is likely to damage the campaign severely.
subject_pg_full,1,minusF_plusG1_plusG2,severely,24.63574761,The investigators know that the story about is likely to damage severely.
subject_pg_full,1,plusF_minusG1_minusG2,the campaign,10.41187095,The investigators know who the story about the politician is likely to damage the campaign severely.
subject_pg_full,1,plusF_minusG1_plusG2,severely,23.18840565,The investigators know who the story about the politician is likely to damage severely.
subject_pg_full,1,plusF_plusG1_minusG2,the campaign,11.44854545,The investigators know who the story about is likely to damage the campaign severely.
subject_pg_full,1,plusF_plusG1_plusG2,severely,26.39843674,The investigators know who the story about is likely to damage severely.
subject_pg_full,10,minusF_minusG1_minusG2,Ben,23.15931515,It is clear that the description of the consultant might disturb Ben eventually.
subject_pg_full,10,minusF_minusG1_plusG2,eventually,26.36043327,It is clear that the description of the consultant might disturb eventually.
subject_pg_full,10,minusF_plusG1_minusG2,Ben,21.41814237,It is clear that the description of might disturb Ben eventually.
subject_pg_full,10,minusF_plusG1_plusG2,eventually,24.86197951,It is clear that the description of might disturb eventually.
subject_pg_full,10,plusF_minusG1_minusG2,Ben,21.89543495,It is clear who the description of the consultant might disturb Ben eventually.
subject_pg_full,10,plusF_minusG1_plusG2,eventually,24.40491785,It is clear who the description of the consultant might disturb eventually.
subject_pg_full,10,plusF_plusG1_minusG2,Ben,19.33474214,It is clear who the description of might disturb Ben eventually.
subject_pg_full,10,plusF_plusG1_plusG2,eventually,23.96408651,It is clear who the description of might disturb eventually.
subject_pg_full,2,minusF_minusG1_minusG2,the director,12.10602342,The audience believed that the picture of the actor might have flattered the director greatly.
subject_pg_full,2,minusF_minusG1_plusG2,greatly,27.30544325,The audience believed that the picture of the actor might have flattered greatly.
subject_pg_full,2,minusF_plusG1_minusG2,the director,15.07660464,The audience believed that the picture of might have flattered the director greatly.
subject_pg_full,2,minusF_plusG1_plusG2,greatly,25.83294645,The audience believed that the picture of might have flattered greatly.
subject_pg_full,2,plusF_minusG1_minusG2,the director,13.54812551,The audience believed who the picture of the actor might have flattered the director greatly.
subject_pg_full,2,plusF_minusG1_plusG2,greatly,23.50059909,The audience believed who the picture of the actor might have flattered greatly.
subject_pg_full,2,plusF_plusG1_minusG2,the director,16.06683301,The audience believed who the picture of might have flattered the director greatly.
subject_pg_full,2,plusF_plusG1_plusG2,greatly,25.50369315,The audience believed who the picture of might have flattered greatly.
subject_pg_full,3,minusF_minusG1_minusG2,the CEO,18.86743878,The board understood that the critique of the new project would probably anger the CEO immensely.
subject_pg_full,3,minusF_minusG1_plusG2,immensely,26.36907934,The board understood that the critique of the new project would probably anger immensely.
subject_pg_full,3,minusF_plusG1_minusG2,the CEO,17.08559499,The board understood that the critique of would probably anger the CEO immensely.
subject_pg_full,3,minusF_plusG1_plusG2,immensely,24.77493595,The board understood that the critique of would probably anger immensely.
subject_pg_full,3,plusF_minusG1_minusG2,the CEO,21.62094778,The board understood who the critique of the new project would probably anger the CEO immensely.
subject_pg_full,3,plusF_minusG1_plusG2,immensely,26.95995818,The board understood who the critique of the new project would probably anger immensely.
subject_pg_full,3,plusF_plusG1_minusG2,the CEO,17.47871497,The board understood who the critique of would probably anger the CEO immensely.
subject_pg_full,3,plusF_plusG1_plusG2,immensely,26.56651216,The board understood who the critique of would probably anger immensely.
subject_pg_full,4,minusF_minusG1_minusG2,the lawyer,18.07632109,The witness recalled that the discussion about the defendant seemed to concern the lawyer deeply.
subject_pg_full,4,minusF_minusG1_plusG2,deeply,21.74692536,The witness recalled that the discussion about the defendant seemed to concern deeply.
subject_pg_full,4,minusF_plusG1_minusG2,the lawyer,19.32482505,The witness recalled that the discussion about seemed to concern the lawyer deeply.
subject_pg_full,4,minusF_plusG1_plusG2,deeply,21.96013405,The witness recalled that the discussion about seemed to concern deeply.
subject_pg_full,4,plusF_minusG1_minusG2,the lawyer,21.28948571,The witness recalled who the discussion about the defendant seemed to concern the lawyer deeply.
subject_pg_full,4,plusF_minusG1_plusG2,deeply,22.79079746,The witness recalled who the discussion about the defendant seemed to concern deeply.
subject_pg_full,4,plusF_plusG1_minusG2,the lawyer,20.67976529,The witness recalled who the discussion about seemed to concern the lawyer deeply.
subject_pg_full,4,plusF_plusG1_plusG2,deeply,22.78399515,The witness recalled who the discussion about seemed to concern deeply.
subject_pg_full,5,minusF_minusG1_minusG2,Leo,26.37962400,It is clear that the picture of the artist might delight Leo soon.
subject_pg_full,5,minusF_minusG1_plusG2,soon,21.97915165,It is clear that the picture of the artist might delight soon.
subject_pg_full,5,minusF_plusG1_minusG2,Leo,22.77912173,It is clear that the picture of might delight Leo soon.
subject_pg_full,5,minusF_plusG1_plusG2,soon,22.03975206,It is clear that the picture of might delight soon.
